Player,Pitches,Appearances,Stuff+,Location+,Pitching+,CSW%,xwOBAcon,Z-Whiff%,Chase%
Jeff Hoffman,1350,31,103.7,94.1,97.8,27.3,0.362,31.5,19.6
Chris Ellis,481,7,103.6,98.9,98.2,25.8,0.379,31,19.6
Miguel Sanchez,469,28,103.6,98.9,99.3,24.3,0.398,29.6,23.7
Scott Effross,222,14,103.5,106.8,113.5,35.1,0.341,44.4,18.1
Mychal Givens,872,54,103.5,98.8,102.9,29.1,0.374,37.9,17.7
Dennis Santana,904,55,103.5,95.9,98.8,26.9,0.369,27,22.2
Shawn Armstrong,677,31,103.5,101.1,102.1,26.6,0.427,40.2,22.3
Marcus Stroman,2733,33,103.5,102.8,101,28.5,0.374,24.2,24
Caleb Baragar,353,25,103.5,95.7,98.5,24.6,0.311,31.9,16.8
Tyler Chatwood,591,32,103.4,92.5,95.6,27.7,0.359,24.3,20.8
Chad Kuhl,1428,28,103.4,90.9,93.5,27.9,0.35,29.4,15.5
Josh James,69,5,103.3,103.9,101.4,37.7,0.327,38.5,25
Richard Rodriguez,943,64,103.3,103.4,102.9,24.6,0.36,24.2,20.9
Joe Jimenez,866,52,103.3,96.1,98.5,27.5,0.309,38.6,19.2
Drew Smith,610,31,103.2,100.1,101.2,28.5,0.364,28.4,23.6
Shelby Miller,273,13,103.2,97.1,98.7,24.9,0.363,36.5,11.6
Deolis Guerra,1086,53,103.2,98.6,99.6,27.2,0.309,29.1,24.6
Corey Kluber,1332,16,103.2,99.9,102.8,29.3,0.356,25.1,23.3
Dominic Leone,847,57,103.2,97.9,100.8,28.2,0.315,27,23.3
Michael Rucker,490,20,103.1,98.6,101.7,28.2,0.43,31.5,22.7
Chris Mazza,413,14,103.1,99.9,99.8,27.8,0.34,22.4,25.8
Sean Doolittle,865,56,103.1,102.2,104.9,25.8,0.372,38.2,16.9
Alex Lange,639,36,103.1,90.5,96.6,29.3,0.443,25,25.4
Casey Sadler,579,42,103,97.9,100,31.1,0.28,20,23.2
Ian Kennedy,897,55,103,106.1,105.3,27.6,0.387,38.5,21.4
Miguel Yajure,239,4,103,99.1,96.7,25.5,0.481,14,19.4
Taylor Williams,219,11,103,91.9,95.4,25.1,0.329,20,19.5
Lance McCullers Jr.,2727,28,103,97.4,101.6,31.3,0.319,23.5,20.5
Andrew Miller,616,40,102.9,93.8,98.7,32.1,0.378,23.8,19.7
Hunter Strickland,980,57,102.9,98.5,103.5,27.9,0.341,37,19.2
Lance Lynn,2500,27,102.9,103.5,104,25.8,0.313,32.9,19.8
Justin Dunn,869,11,102.8,98,100.3,25.4,0.365,29.5,19.3
Daniel Bard,1209,67,102.8,95.9,96.7,29.9,0.359,35,18.8
Sean Manaea,2972,32,102.8,103.1,104.1,28.6,0.383,36.9,20.7
Griffin Jax,1393,18,102.8,98.8,100.2,25.6,0.398,19.8,19.2
Luis Garcia,2500,30,102.7,100.6,101.1,29.8,0.375,33.6,23.1
Jordan Sheffield,451,30,102.6,93.4,96.8,25.1,0.302,26.3,18.1
